Adm0,Adm1,ConstructionMaterial,RuralOrUrban,Total_nr_bdgs_mat,1,2,3,4,5,6,7,8,9,10,unknown_floor_nr,-1949,1950-1959,1960-1969,1970-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000,2001,2002,2003,2004,unknown_year
JOR,Ajlun,Cement Bricks,urban,5869,0.5966944965,0.3348100187,0.0598057591,0.0074970182,0.0011927074,0,0,0,0,0,0,0.0042596694,0.0100528199,0.0473675243,0.1501107514,0.1475549497,0.1162037826,0.1661271085,0.1737945135,0.0386777986,0.0253876299,0.0308400068,0.0252172431,0.0165275175,0.0478786846
JOR,Ajlun,Cement Bricks,rural,4067,0.6835505286,0.3019424637,0.0142611261,0.0002458815,0,0,0,0,0,0,0,0.0036882223,0.0049176297,0.0280304893,0.1116301942,0.1654782395,0.123186624,0.1880993361,0.1713793951,0.0449963118,0.032948119,0.0331940005,0.0309810671,0.0135234817,0.0479468896
JOR,Ajlun,Concrete,urban,3751,0.5214609437,0.3900293255,0.075179952,0.012529992,0.0007997867,0,0,0,0,0,0,0.0170621168,0.0498533724,0.1580911757,0.2716608904,0.1431618235,0.0989069581,0.0869101573,0.0682484671,0.012529992,0.014396161,0.008797654,0.0077312717,0.0050653159,0.0575846441
JOR,Ajlun,Concrete,rural,1937,0.6649457925,0.3190500774,0.0149716056,0.0005162623,0.0005162623,0,0,0,0,0,0,0.0087764584,0.0258131131,0.0934434693,0.2823954569,0.1636551368,0.1140939597,0.1135776975,0.0898296335,0.0351058338,0.0123902943,0.0170366546,0.011874032,0.0103252452,0.021683015
JOR,Ajlun,Cut Stone,urban,332,0.5,0.4126506024,0.0753012048,0.0120481928,0,0,0,0,0,0,0,0.0090361446,0.0301204819,0.0542168675,0.0993975904,0.1024096386,0.0963855422,0.1536144578,0.1927710843,0.0692771084,0.0421686747,0.0542168675,0.0210843373,0.0331325301,0.0421686747
JOR,Ajlun,Cut Stone,rural,121,0.5785123967,0.4132231405,0.0082644628,0,0,0,0,0,0,0,0,0.0082644628,0.0082644628,0.0165289256,0.0743801653,0.132231405,0.132231405,0.2066115702,0.2148760331,0.0661157025,0.0330578512,0.0330578512,0.0082644628,0.0165289256,0.0495867769
JOR,Ajlun,Cut Stone & Concrete,urban,593,0.3204047218,0.5059021922,0.1231028668,0.0404721754,0.0084317032,0.0016863406,0,0,0,0,0,0.018549747,0.0370994941,0.0741989882,0.1180438449,0.107925801,0.0876897133,0.155143339,0.1652613828,0.0337268128,0.0252951096,0.0455311973,0.023608769,0.018549747,0.089376054
JOR,Ajlun,Cut Stone & Concrete,rural,76,0.5789473684,0.4078947368,0.0131578947,0,0,0,0,0,0,0,0,0.0131578947,0.0131578947,0.0657894737,0.1578947368,0.0526315789,0.0921052632,0.1578947368,0.2105263158,0.0394736842,0.0526315789,0.0526315789,0.0657894737,0.0263157895,0
JOR,Ajlun,Mud Bricks & Rubble,urban,311,0.8938906752,0.1061093248,0,0,0,0,0,0,0,0,0,0.3183279743,0.2443729904,0.1704180064,0.038585209,0.0160771704,0.0192926045,0.0096463023,0.0064308682,0,0.0032154341,0,0,0,0.1736334405
JOR,Ajlun,Mud Bricks & Rubble,rural,179,0.9329608939,0.0670391061,0,0,0,0,0,0,0,0,0,0.251396648,0.2458100559,0.2681564246,0.1173184358,0.0446927374,0.0055865922,0,0.0055865922,0,0,0,0,0.0055865922,0.0558659218
