Adm0,Adm1,Adm2,ConstructionMaterial,NrBuildings,1,2,3,4,5,6,unknown_floor_nr,-1948,1948-1967,1968-1977,1978-1987,1988-1997,1998-2008,unknown_year
PSE,Westbank,Jenin,Unknown,186,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.043511338,0.1424855208,0.1283989398,0.1450623343,0.2339992147,0.2613134387,0.0452292137
PSE,Westbank,Jenin,Other,1298,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.043511338,0.1424855208,0.1283989398,0.1450623343,0.2339992147,0.2613134387,0.0452292137
PSE,Westbank,Jenin,Old Stone,2231,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.043511338,0.1424855208,0.1283989398,0.1450623343,0.2339992147,0.2613134387,0.0452292137
PSE,Westbank,Jenin,Adobe Clay,414,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.043511338,0.1424855208,0.1283989398,0.1450623343,0.2339992147,0.2613134387,0.0452292137
PSE,Westbank,Jenin,Cement Block,18766,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.043511338,0.1424855208,0.1283989398,0.1450623343,0.2339992147,0.2613134387,0.0452292137
PSE,Westbank,Jenin,Concrete,9023,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.043511338,0.1424855208,0.1283989398,0.1450623343,0.2339992147,0.2613134387,0.0452292137
PSE,Westbank,Jenin,Stone and Concrete,5069,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.043511338,0.1424855208,0.1283989398,0.1450623343,0.2339992147,0.2613134387,0.0452292137
PSE,Westbank,Jenin,Cleaned Stone,4151,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.043511338,0.1424855208,0.1283989398,0.1450623343,0.2339992147,0.2613134387,0.0452292137
PSE,Westbank,Tubas,Unknown,53,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0321521412,0.1526884663,0.1271035709,0.1513202901,0.243672185,0.2748666028,0.0181967437
PSE,Westbank,Tubas,Other,516,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0321521412,0.1526884663,0.1271035709,0.1513202901,0.243672185,0.2748666028,0.0181967437
PSE,Westbank,Tubas,Old Stone,303,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0321521412,0.1526884663,0.1271035709,0.1513202901,0.243672185,0.2748666028,0.0181967437
PSE,Westbank,Tubas,Adobe Clay,91,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0321521412,0.1526884663,0.1271035709,0.1513202901,0.243672185,0.2748666028,0.0181967437
PSE,Westbank,Tubas,Cement Block,4634,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0321521412,0.1526884663,0.1271035709,0.1513202901,0.243672185,0.2748666028,0.0181967437
PSE,Westbank,Tubas,Concrete,854,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0321521412,0.1526884663,0.1271035709,0.1513202901,0.243672185,0.2748666028,0.0181967437
PSE,Westbank,Tubas,Stone and Concrete,860,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0321521412,0.1526884663,0.1271035709,0.1513202901,0.243672185,0.2748666028,0.0181967437
