asset_id,longitude,latitude,taxonomy,num_buildings,built_up_area,structural_replacement_cost,structural_retrofit_cost,structural_insurance_limit,structural_insurance_deductible,nonstructural_replacement_cost,nonstructural_retrofit_cost,nonstructural_insurance_limit,nonstructural_insurance_deductible,contents_replacement_cost,contents_retrofit_cost,contents_insurance_limit,contents_insurance_deductible,downtime_cost,downtime_insurance_limit,downtime_insurance_deductible,day_occupants,night_occupants,transit_occupants
0,35.795031019583028,32.302751776614315,JOR-MURmanufactured-1-T-F-F-F-T,13250,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3
1,35.795031019583028,32.302751776614315,JOR-MURmanufactured-2-T-F-F-F-T,6590,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,6
2,35.795031019583028,32.302751776614315,JOR-MURmanufactured-3-T-F-F-F-T,767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,9
3,35.795031019583028,32.302751776614315,JOR-MURmanufactured-4-T-F-F-F-T,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,12
4,35.795031019583028,32.302751776614315,JOR-MURmanufactured-5-T-F-F-F-T,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,25,15
5,35.795031019583028,32.302751776614315,JOR-MURmanufactured-6-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,30,18
6,35.795031019583028,32.302751776614315,JOR-MURmanufactured-7-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,35,21
7,35.795031019583028,32.302751776614315,JOR-MURmanufactured-8-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,40,24
8,35.795031019583028,32.302751776614315,JOR-MURmanufactured-9-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,45,27
9,35.795031019583028,32.302751776614315,JOR-MURmanufactured-10-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,50,30
10,35.795031019583028,32.302751776614315,JOR-MURmanufactured-1-F-F-F-F-T,12191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3
11,35.795031019583028,32.302751776614315,JOR-MURmanufactured-2-F-F-F-F-T,6064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,6
12,35.795031019583028,32.302751776614315,JOR-MURmanufactured-3-F-F-F-F-T,705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,9
13,35.795031019583028,32.302751776614315,JOR-MURmanufactured-4-F-F-F-F-T,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,12
14,35.795031019583028,32.302751776614315,JOR-MURmanufactured-5-F-F-F-F-T,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,25,15
15,35.795031019583028,32.302751776614315,JOR-MURmanufactured-6-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,30,18
